title,description,category,resolution,priority
Wi-fi keeps disconnecting,I am having trouble because Wi-Fi keeps disconnecting.,Network,Check network connectivity and restart the network adapter.,Low
Issue reported: the internal server keeps disconnecting,"I have been trying to fix this, but the internal server keeps disconnecting.",Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Unable to resolve: the company-hosted service is not responding,Our team is facing the following issue: the company-hosted service is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,High
Support required: the infrastructure service is extremely slow,This started happening today: the infrastructure service is extremely slow.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
The application closes immediately after opening,This issue is preventing me from working: the application closes immediately after opening.,Application,Verify the application configuration and escalate to application support if required.,High
Issue reported: i cannot complete my work because the application keeps failing,I would like to report a problem where I cannot complete my work because the application keeps failing.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: the internal server keeps disconnecting,This issue is preventing me from working: the internal server keeps disconnecting.,Infrastructure,Verify server availability and restart the affected service if required.,High
Problem with someone may have accessed my account without permission,I need assistance with this problem: someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",High
Issue reported: i need my account access restored,I would like to report a problem where I need my account access restored.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Storage capacity has been exhausted,I need assistance with this problem: storage capacity has been exhausted.,Storage,Verify storage connectivity and available disk capacity.,Low
Support required: i received an email that looks like a phishing attempt,This issue is preventing me from working: I received an email that looks like a phishing attempt.,Security,"Secure the account, change the password, and contact Security Operations.",High
Support required: the application displays an unexpected error,I would like to report a problem where the application displays an unexpected error.,Application,Restart the application and check whether the problem continues.,Medium
One of our business applications is behaving incorrectly,I am having trouble because one of our business applications is behaving incorrectly.,Application,Check the application logs and install the latest available update.,Low
Unable to resolve: the internal server keeps disconnecting,Our team is facing the following issue: the internal server keeps disconnecting.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,High
Support required: the network connection keeps failing,This started happening today: the network connection keeps failing.,Network,Check network connectivity and restart the network adapter.,Low
Unable to resolve: i think my account may have been compromised,I am having trouble because I think my account may have been compromised.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Unable to resolve: one of our business applications is behaving incorrectly,Can someone help me resolve this? one of our business applications is behaving incorrectly.,Application,Check the application logs and install the latest available update.,Medium
I accidentally clicked a suspicious link,I am unable to continue my work because I accidentally clicked a suspicious link.,Security,Disconnect the affected device from the network and contact Security Operations.,High
Support required: new files cannot be saved because storage is full,"I have been trying to fix this, but new files cannot be saved because storage is full.",Storage,Verify storage connectivity and available disk capacity.,Medium
Unable to resolve: the company-hosted service is not responding,Please help me. the company-hosted service is not responding.,Infrastructure,Check server health and review the infrastructure logs.,Low
Unable to resolve: i cannot complete my work because the application keeps failing,Something appears to be wrong because I cannot complete my work because the application keeps failing.,Application,Restart the application and check whether the problem continues.,Low
Issue reported: database performance has suddenly become very slow,I am unable to continue my work because database performance has suddenly become very slow.,Database,Check database permissions and escalate to database support if required.,Medium
Support required: the shared drive is unavailable,"I have been trying to fix this, but the shared drive is unavailable.",Storage,Verify storage connectivity and available disk capacity.,Medium
Database requests keep timing out,I am having trouble because database requests keep timing out.,Database,Verify database availability and investigate slow-running queries.,Low
My device is showing signs of malicious activity,I am having trouble because my device is showing signs of malicious activity.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Support required: database queries are taking too long,Can someone help me resolve this? database queries are taking too long.,Database,Verify database availability and investigate slow-running queries.,High
Support required: the vpn connection keeps dropping,This issue is preventing me from working: the VPN connection keeps dropping.,Network,Restart the VPN client and verify the network connection.,High
Database performance has suddenly become very slow,This started happening today: database performance has suddenly become very slow.,Database,Check database connectivity and review the database server logs.,Medium
Problem with the company server is not responding,I am having trouble because the company server is not responding.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,High
Issue reported: wi-fi keeps disconnecting,Please help me. Wi-Fi keeps disconnecting.,Network,Check network connectivity and restart the network adapter.,High
Support required: storage capacity has been exhausted,This issue is preventing me from working: storage capacity has been exhausted.,Storage,Check available storage and remove unnecessary files if appropriate.,High
